"tabla","id","id_externo","nombre","longitud","latitud","cero_ign","altitud","provincia","pais","rio","automatica","propietario","abreviatura","url","localidad","real","nivel_alerta","nivel_evacuacion","nivel_aguas_bajas","tipo","has_obs","habilitar"
"ctp",8070,"Tica Tica","Tica Tica",-66.314,-20.141,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8071,"Tiguipa","Tiguipa",-63.327,-21.001,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8072,"Timboy","Timboy",-64.066,-21.174,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8073,"Tinguipaya","Tinguipaya",-65.822,-19.224,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8074,"Tojo","Tojo",-65.326,-21.819,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8075,"Tumusla","Tumusla",-65.618,-20.488,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8076,"Tupiza","Tupiza",-65.715,-21.438,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8077,"Turuchipa","Turuchipa",-64.944,-19.819,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8078,"Villa Abecia","Villa Abecia",-65.231,-20.967,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8079,"Villa Montes","Villa Montes",-63.503,-21.261,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8080,"Villamontes Aero","Villamontes Aero",-63.408,-21.254,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8081,"Villazon","Villazon",-65.602,-22.087,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8082,"Viña Quemada","Viña Quemada",-64.863,-19.403,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8083,"Vitichi","Vitichi",-65.499,-20.205,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8084,"Yamparaez","Yamparaez",-65.114,-19.188,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8085,"Yocalla","Yocalla",-65.908,-19.398,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8086,"Yotala","Yotala",-65.266,-19.162,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8087,"Yunchara","Yunchara",-65.229,-21.826,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8088,"Yuticancha","Yuticancha",-65.065,-21.916,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8089,"Zurita","Zurita",-65.239,-21.754,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8175,"Misión La Paz DE CTN - Automática","Misión La Paz DE CTN - Automática",-62.523,-22.377,null,null,null,null,null,false,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"A",null,true
